symbol,年份,年度收益%
SZ.000333,2016,275.4952808200601
SZ.000333,2017,274.1488834712991
SZ.000333,2018,-45.031786496355984
SZ.000333,2019,107.03008497965473
SZ.000333,2020,95.22715997503643
SZ.000333,2021,-26.852377111009663
SZ.000858,2016,-99.89725858162029
SZ.000858,2017,772.751768495543
SZ.000858,2018,-52.954707624971434
SZ.000858,2019,340.5771118439971
SZ.000858,2020,148.50442796831965
SZ.000858,2021,-24.715600911245605
SZ.000651,2016,169.6638511436087
SZ.000651,2017,496.2974160117846
SZ.000651,2018,-31.962999823250684
SZ.000651,2019,187.517280424425
SZ.000651,2020,-3.005879322752758
SZ.000651,2021,-45.99007415447919
SH.603288,2016,3.7564135830014944
SH.603288,2017,141.09316626218433
SH.603288,2018,36.97500078592866
SH.603288,2019,67.38540793660717
SH.603288,2020,136.2700783382697
SH.603288,2021,-32.45019599853309
SH.600887,2016,49.925381828271554
SH.600887,2017,167.5500700864478
SH.600887,2018,-35.47966323622587
SH.600887,2019,56.07412769420459
SH.600887,2020,58.24643693380733
SH.600887,2021,-5.368266462142279
SH.600809,2016,-99.88861821418298
SH.600809,2017,25.12008258669256
SH.600809,2018,-65.10168092255196
SH.600809,2019,485.3867210998587
SH.600809,2020,428.6475060802439
SH.600809,2021,18.956622058555617
SZ.002847,2017,627.7259897923913
SZ.002847,2018,-29.63991777696563
SZ.002847,2019,136.62768552923725
SZ.002847,2020,290.77238166260145
SZ.002847,2021,-23.592387681773776
SZ.002507,2016,45.3081659224345
SZ.002507,2017,140.69555223943362
SZ.002507,2018,36.82618395938715
SZ.002507,2019,29.177813083268923
SZ.002507,2020,66.29465806405122
SZ.002507,2021,-10.525349117343275
SH.600258,2016,20.637340751102574
SH.600258,2017,44.11723979660693
SH.600258,2018,-29.858604751646222
SH.600258,2019,31.36382870873833
SH.600258,2020,3.3771815012878292
SH.600258,2021,23.800049913701148
SH.603259,2018,520.5014711771133
SH.603259,2019,86.12546509093593
SH.603259,2020,114.76148904747943
SH.603259,2021,6.121815447900758
SH.600276,2016,19.184664095591675
SH.600276,2017,90.08757207340554
SH.600276,2018,-0.3960849431763558
SH.600276,2019,104.21270373355202
SH.600276,2020,54.094597356355514
SH.600276,2021,-45.771937461841425
SZ.300760,2018,98.42407941540839
SZ.300760,2019,93.91584689434673
SZ.300760,2020,161.5170851250626
SZ.300760,2021,-10.711828806223345
SZ.002001,2016,-10.156370362512558
SZ.002001,2017,265.4349454451007
SZ.002001,2018,-45.086677069350635
SZ.002001,2019,105.43470645412913
SZ.002001,2020,62.582508391495836
SZ.002001,2021,15.488347407278047
SZ.000538,2016,46.532891291943244
SZ.000538,2017,51.5028675111115
SZ.000538,2018,-33.91899041581091
SZ.000538,2019,33.989533958917974
SZ.000538,2020,39.45418527449949
SZ.000538,2021,-5.261074819529155
SH.603127,2017,350.71260411069017
SH.603127,2018,23.66111016489483
SH.603127,2019,78.93550062166253
SH.603127,2020,159.5826138401014
SH.603127,2021,58.21000765348081
SZ.300573,2017,-50.86878378534436
SZ.300573,2018,-76.27902027770992
SZ.300573,2019,623.671758853699
SZ.300573,2020,37.92262642355375
SZ.300573,2021,52.62980656944889
SZ.300529,2016,445.5352580135503
SZ.300529,2017,-38.84227129039133
SZ.300529,2018,42.182934119363935
SZ.300529,2019,92.22727446566563
SZ.300529,2020,89.93692057295937
SZ.300529,2021,-21.53281013895275
SH.601138,2018,-20.601876907952366
SH.601138,2019,80.89296099254861
SH.601138,2020,-28.789393599952252
SH.601138,2021,-14.001152748648394
SZ.300308,2016,164.2476436943069
SZ.300308,2017,188.29347813565275
SZ.300308,2018,-33.4102341514912
SZ.300308,2019,91.67395437123373
SZ.300308,2020,-2.406812443634132
SZ.300308,2021,-17.429488478661202
SH.688981,2020,-30.38616321531049
SH.688981,2021,-8.268156961558281
SH.688256,2020,-31.112632730966972
SH.688256,2021,-35.56819791565026
SZ.300502,2016,51.07152428581219
SZ.300502,2017,-28.103473663298484
SZ.300502,2018,-35.4541351893723
SZ.300502,2019,122.56708515167918
SZ.300502,2020,100.69829047265743
SZ.300502,2021,-0.6377544790660106
SZ.002371,2016,19.581331222325304
SZ.002371,2017,62.32823835939227
SZ.002371,2018,-9.380177555303149
SZ.002371,2019,143.64081338871074
SZ.002371,2020,108.75537354652565
