symbol,年份,年度收益%
SH.600372,2016,-4.868913857677892
SH.600372,2017,-28.536414379667807
SH.600372,2018,-5.015432098765449
SH.600372,2019,10.641754670999347
SH.600372,2020,40.16152716593226
SH.600372,2021,14.876898899947498
SZ.300775,2019,325.8485639686686
SZ.300775,2020,18.853464132434205
SZ.300775,2021,24.632447768893286
SZ.300033,2016,-19.58737587522259
SZ.300033,2017,-35.98761958356768
SZ.300033,2018,-34.153846153846224
SZ.300033,2019,340.3871829105468
SZ.300033,2020,17.02288919205719
SZ.300033,2021,20.16839378238362
SZ.300442,2016,2.000930665425815
SZ.300442,2017,-54.790145985401416
SZ.300442,2018,-49.34409687184669
SZ.300442,2019,27.888446215139528
SZ.300442,2020,130.0401097741188
SZ.300442,2021,19.90104452996131
SZ.002602,2016,126.18572256459527
SZ.002602,2017,-19.383259911894235
SZ.002602,2018,5.278016954335141
SZ.002602,2019,-12.315438672752288
SZ.002602,2020,-25.39349422875137
SZ.002602,2021,18.002812939522084
SZ.002230,2016,1.355234982531095
SZ.002230,2017,125.10215995329817
SZ.002230,2018,-38.17427385892109
SZ.002230,2019,41.69463087248333
SZ.002230,2020,19.21255180580235
SZ.002230,2021,29.401539607648488
SH.688111,2019,30.71825916230364
SH.688111,2020,154.82821202828728
SH.688111,2021,-35.70814607431415
SZ.002027,2016,-16.97368421052634
SZ.002027,2017,55.309033280507336
SZ.002027,2018,-65.40816326530619
SZ.002027,2019,33.0383480825958
SZ.002027,2020,81.59645232815953
SZ.002027,2021,-16.605616605616714
SH.601360,2016,-5.173876166242442
SH.601360,2017,267.55513198084566
SH.601360,2018,-57.19495839421435
SH.601360,2019,16.05435329642666
SH.601360,2020,-33.60797918473545
SH.601360,2021,-19.529719137818404
SH.603613,2019,280.00000000000045
SH.603613,2020,150.75620084694467
SH.603613,2021,22.09891435464413
SZ.300773,2019,73.95934172313632
SZ.300773,2020,-23.149693934335037
SZ.300773,2021,0.3620564808110682
SH.601857,2016,9.76095617529895
SH.601857,2017,4.355716878402971
SH.601857,2018,-12.695652173912963
SH.601857,2019,-24.103585657370463
SH.601857,2020,-40.15748031496076
SH.601857,2021,42.98245614035052
SH.601088,2016,-44.69135802469136
SH.601088,2017,-329.959975369458
SH.601088,2018,-55.69948186528493
SH.601088,2019,34.21052631578958
SH.601088,2020,22.22222222222221
SH.601088,2021,112.65597147950133
SH.601899,2016,-10.202176386498197
SH.601899,2017,80.86419753086412
SH.601899,2018,-39.59044368600691
SH.601899,2019,68.57001810103658
SH.601899,2020,153.84615384615378
SH.601899,2021,6.6919191919193155
SH.603993,2016,1.1811023622047445
SH.603993,2017,124.51361867704276
SH.603993,2018,-52.686308492201086
SH.603993,2019,26.007326007326093
SH.603993,2020,56.104651162790596
SH.603993,2021,-11.91806331471128
SH.601225,2016,3.0303030303030054
SH.601225,2017,-100.58823529411765
SH.601225,2018,
SH.601225,2019,-671.4285714285717
SH.601225,2020,
SH.601225,2021,158.44155844155833
SH.600111,2016,-12.114197530864224
SH.600111,2017,20.45654082528534
SH.600111,2018,-42.201166180758
SH.600111,2019,26.73392181588925
SH.600111,2020,22.388059701492402
SH.600111,2021,266.50406504064995
SH.601918,2016,-23.16895174745418
SH.601918,2017,-10.58734718698241
SH.601918,2018,-26.524390243902385
SH.601918,2019,9.958506224066333
SH.601918,2020,-3.396226415094339
SH.601918,2021,56.24999999999978
SH.601069,2016,-6.361323155216292
SH.601069,2017,-21.158507141132432
SH.601069,2018,3.470898466907446
SH.601069,2019,1.6371077762621589
SH.601069,2020,-10.671140939597501
SH.601069,2021,-17.096406852772738
