symbol,date,adjusted_close,close,amount,turnover_rate
SH.600406,2020-07-29,10.13,10.13,455982944.0,0.74
SH.600406,2020-07-30,10.13,10.13,365974528.0,0.59
SH.600406,2020-07-31,10.19,10.19,460049696.0,0.74
SH.600406,2020-08-03,10.46,10.46,526520736.0,0.84
SH.600406,2020-08-04,10.5,10.5,457050288.0,0.72
SH.600406,2020-08-05,10.66,10.66,476222896.0,0.74
SH.600406,2020-08-06,10.4,10.4,543250688.0,0.85
SH.600406,2020-08-07,10.55,10.55,438571792.0,0.69
SH.600406,2020-08-10,10.46,10.46,332024688.0,0.52
SH.600406,2020-08-11,9.98,9.98,451799840.0,0.72
SH.600406,2020-08-12,10.09,10.09,344535024.0,0.56
SH.600406,2020-08-13,10.0,10.0,243675634.0,0.39
SH.600406,2020-08-14,10.15,10.15,231329568.0,0.38
SH.600406,2020-08-17,10.64,10.64,455833840.0,0.71
SH.600406,2020-08-18,10.87,10.87,463807600.0,0.71
SH.600406,2020-08-19,11.0,11.0,700129088.0,1.05
SH.600406,2020-08-20,10.88,10.88,370719680.0,0.56
SH.600406,2020-08-21,10.85,10.85,318323360.0,0.48
SH.600406,2020-08-24,11.09,11.09,448900368.0,0.67
SH.600406,2020-08-25,11.23,11.23,587893520.0,0.86
SH.600406,2020-08-26,11.11,11.11,417540928.0,0.63
SH.600406,2020-08-27,10.92,10.92,237891117.0,0.36
SH.600406,2020-08-28,11.29,11.29,333375584.0,0.5
SH.600406,2020-08-31,10.86,10.86,483502784.0,0.72
SH.600406,2020-09-01,11.03,11.03,326491648.0,0.49
SH.600406,2020-09-02,11.22,11.22,475149792.0,0.71
SH.600406,2020-09-03,10.87,10.87,480695312.0,0.72
SH.600406,2020-09-04,10.36,10.36,526999936.0,0.83
SH.600406,2020-09-07,9.96,9.96,482514672.0,0.78
SH.600406,2020-09-08,10.01,10.01,359248672.0,0.59
SH.600406,2020-09-09,9.6,9.6,541849792.0,0.9
SH.600406,2020-09-10,9.58,9.58,380095728.0,0.64
SH.600406,2020-09-11,9.41,9.41,369027376.0,0.63
SH.600406,2020-09-14,9.57,9.57,342060336.0,0.58
SH.600406,2020-09-15,9.61,9.61,386977136.0,0.65
SH.600406,2020-09-16,9.69,9.69,252086299.0,0.42
SH.600406,2020-09-17,9.6,9.6,241460943.0,0.41
SH.600406,2020-09-18,9.72,9.72,299217744.0,0.5
SH.600406,2020-09-21,9.57,9.57,264601576.0,0.44
SH.600406,2020-09-22,9.36,9.36,309700880.0,0.53
SH.600406,2020-09-23,9.36,9.36,184498144.0,0.32
SH.600406,2020-09-24,9.08,9.08,324341344.0,0.56
SH.600406,2020-09-25,9.28,9.28,212955087.0,0.37
SH.600406,2020-09-28,9.36,9.36,165114215.0,0.28
SH.600406,2020-09-29,9.25,9.25,247266363.0,0.43
SH.600406,2020-09-30,9.31,9.31,286332016.0,0.49
SH.600406,2020-10-09,9.53,9.53,395551408.0,0.67
SH.600406,2020-10-12,9.99,9.99,564018352.0,0.93
SH.600406,2020-10-13,9.95,9.95,241056215.0,0.4
SH.600406,2020-10-14,10.11,10.11,390082896.0,0.63
SH.600406,2020-10-15,10.02,10.02,175851066.0,0.29
SH.600406,2020-10-16,9.82,9.82,251109415.0,0.41
SH.600406,2020-10-19,9.84,9.84,168937007.0,0.28
SH.600406,2020-10-20,9.84,9.84,221323030.0,0.37
SH.600406,2020-10-21,9.46,9.46,298755968.0,0.51
SH.600406,2020-10-22,9.81,9.81,310248128.0,0.52
SH.600406,2020-10-23,9.64,9.64,197210543.0,0.33
SH.600406,2020-10-26,9.77,9.77,158195523.0,0.26
SH.600406,2020-10-27,9.76,9.76,151633541.0,0.25
SH.600406,2020-10-28,10.24,10.24,596659200.0,0.97
SH.600406,2020-10-29,10.17,10.17,312964688.0,0.5
SH.600406,2020-10-30,9.91,9.91,358912720.0,0.59
SH.600406,2020-11-02,10.63,10.63,677923984.0,1.06
SH.600406,2020-11-03,10.64,10.64,419104288.0,0.65
SH.600406,2020-11-04,10.52,10.52,427110768.0,0.66
SH.600406,2020-11-05,10.7,10.7,593775248.0,0.91
SH.600406,2020-11-06,10.83,10.83,628588448.0,0.96
SH.600406,2020-11-09,11.29,11.29,849188768.0,1.26
SH.600406,2020-11-10,11.07,11.07,547088576.0,0.82
SH.600406,2020-11-11,11.14,11.14,449477312.0,0.67
SH.600406,2020-11-12,11.41,11.41,544647056.0,0.8
SH.600406,2020-11-13,11.55,11.55,522459168.0,0.76
SH.600406,2020-11-16,11.7,11.7,571304400.0,0.82
SH.600406,2020-11-17,11.75,11.75,642512576.0,0.92
SH.600406,2020-11-18,11.52,11.52,658119472.0,0.96
SH.600406,2020-11-19,11.49,11.49,353911440.0,0.51
SH.600406,2020-11-20,11.75,11.75,482837792.0,0.69
SH.600406,2020-11-23,11.89,11.89,572455024.0,0.81
SH.600406,2020-11-24,12.77,12.77,1415230112.0,1.9
SH.600406,2020-11-25,12.26,12.26,837916960.0,1.14
SH.600406,2020-11-26,11.28,11.28,978203216.0,1.42
SH.600406,2020-11-27,11.78,11.78,896373584.0,1.28
SH.600406,2020-11-30,11.55,11.55,449053776.0,0.64
SH.600406,2020-12-01,11.46,11.46,506873680.0,0.74
SH.600406,2020-12-02,11.11,11.11,533780544.0,0.79
SH.600406,2020-12-03,10.95,10.95,469713712.0,0.71
SH.600406,2020-12-04,10.94,10.94,332344432.0,0.5
SH.600406,2020-12-07,10.92,10.92,309512736.0,0.47
SH.600406,2020-12-08,10.98,10.98,257705414.0,0.39
SH.600406,2020-12-09,10.83,10.83,367767632.0,0.55
SH.600406,2020-12-10,10.88,10.88,238506047.0,0.36
SH.600406,2020-12-11,10.81,10.81,355249920.0,0.54
SH.600406,2020-12-14,10.68,10.68,222975102.0,0.34
SH.600406,2020-12-15,11.07,11.07,344140112.0,0.52
SH.600406,2020-12-16,11.34,11.34,630289552.0,0.92
SH.600406,2020-12-17,11.48,11.48,403863216.0,0.59
SH.600406,2020-12-18,11.87,11.87,576790896.0,0.82
SH.600406,2020-12-21,12.47,12.47,750164176.0,1.03
SH.600406,2020-12-22,12.15,12.15,818818768.0,1.11
SH.600406,2020-12-23,12.88,12.88,895272224.0,1.19
SH.600406,2020-12-24,12.86,12.86,360314368.0,0.47
SH.600406,2020-12-25,12.83,12.83,433218480.0,0.57
SH.600406,2020-12-28,13.39,13.39,780104544.0,0.64
SH.600406,2020-12-29,13.14,13.14,453080032.0,0.38
SH.600406,2020-12-30,13.06,13.06,433695664.0,0.36
SH.600406,2020-12-31,13.27,13.27,418574752.0,0.35
SH.600406,2021-01-04,13.34,13.34,680035456.0,0.55
