symbol,年份,年度收益%
SZ.300308,2019,79.9884200923894
SZ.300308,2020,-2.34962392964595
SZ.300308,2021,-16.18367145854547
SH.688981,2020,-30.35455861070919
SH.688981,2021,-8.242424242424152
SH.688256,2020,-30.894538606402943
SH.688256,2021,-35.209156560839304
SZ.300502,2016,40.381406436233604
SZ.300502,2017,-25.838962472406134
SZ.300502,2018,-31.768075948228038
SZ.300502,2019,105.28507033320516
SZ.300502,2020,94.06957211439706
SZ.300502,2021,-0.5639692787527628
SZ.002371,2016,13.046646314652
SZ.002371,2017,55.8881578947368
SZ.002371,2018,-8.822626020347302
SZ.002371,2019,133.24743189242895
SZ.002371,2020,105.44694958433878
SZ.002371,2021,92.06426632998954
SZ.002475,2016,8.863289377202976
SZ.002475,2017,69.91368075853721
SZ.002475,2018,-21.851501151530307
SZ.002475,2019,238.19683902851958
SZ.002475,2020,100.33203485538591
SZ.002475,2021,-12.118365043571844
SH.603083,2017,118.2279649284724
SH.603083,2018,-31.958553605413343
SH.603083,2019,51.513202058626085
SH.603083,2020,-34.83035192330172
SH.603083,2021,-7.278745917891705
SH.600150,2016,18.403002357449495
SH.600150,2017,-10.648315827598687
SH.600150,2018,-46.7774625050669
SH.600150,2019,66.63626705800951
SH.600150,2020,-18.7114346590908
SH.600150,2021,40.403225926649064
SZ.302132,2016,1.522385535813564
SZ.302132,2017,-32.32151280494537
SZ.302132,2018,-30.216039784735493
SZ.302132,2019,60.5384388942199
SZ.302132,2020,31.822524480736615
SZ.302132,2021,18.67408294063719
SH.600760,2016,89.01960784313738
SH.600760,2017,80.9647302904565
SH.600760,2018,-20.578962453424985
SH.600760,2019,14.038253338145035
SH.600760,2020,148.5500367746685
SH.600760,2021,22.30498441072626
SH.600893,2016,-12.126275184160995
SH.600893,2017,-17.476565235968387
SH.600893,2018,-18.83906901113409
SH.600893,2019,0.39669579980745606
SH.600893,2020,174.97167020239073
SH.600893,2021,7.164894085162787
SH.600118,2016,-5.531311544837547
SH.600118,2017,-18.840306837935618
SH.600118,2018,-31.011769553437308
SH.600118,2019,23.96960424007757
SH.600118,2020,50.98875143197361
SH.600118,2021,-15.317542304371578
SH.600482,2016,-12.892184826012477
SH.600482,2017,-18.132529203027747
SH.600482,2018,-9.233475110137645
SH.600482,2019,-10.193084867534807
SH.600482,2020,-10.390705394190691
SH.600482,2021,10.453757143351016
SZ.002625,2016,-23.853717167724188
SZ.002625,2017,-25.06673785371064
SZ.002625,2018,-40.04094345517939
SZ.002625,2019,-7.575757575757636
SZ.002625,2020,143.1730627521981
SZ.002625,2021,7.908486497165601
SZ.000768,2016,18.40620758669418
SZ.000768,2017,-20.343615328532604
SZ.000768,2018,-21.175395555509713
SZ.000768,2019,24.532374491868868
SZ.000768,2020,125.52503489094681
SZ.000768,2021,-0.1927810694861143
SH.600372,2016,-4.693328610486924
SH.600372,2017,-26.040474994483276
SH.600372,2018,-4.74038483008139
SH.600372,2019,10.07403309054029
SH.600372,2020,38.40540980721783
SH.600372,2021,14.549702856466485
SZ.300775,2019,293.3032902467684
SZ.300775,2020,18.671829880451686
SZ.300775,2021,24.318749296317144
SZ.300033,2016,-15.91687041564781
SZ.300033,2017,-26.355677259633204
