symbol,date,close,amount,turnover_rate,adj_factor,adj_price,ret
SZ.300124,2019-12-23,28.73,212382279.0,0.54,16.094,462.38062,-0.022123893805309658
SZ.300124,2019-12-24,29.09,184078205.0,0.47,16.094,468.17446,0.012530455969369969
SZ.300124,2019-12-25,29.0,179241304.0,0.45,16.094,466.72600000000006,-0.003093846682708734
SZ.300124,2019-12-26,29.1,132651049.0,0.34,16.094,468.33540000000005,0.0034482758620688614
SZ.300124,2019-12-27,29.5,427522928.0,1.06,16.094,474.773,0.013745704467353903
SZ.300124,2019-12-30,30.85,544786368.0,1.32,16.094,496.4999000000001,0.045762711864406835
SZ.300124,2019-12-31,30.64,274000048.0,0.66,16.094,493.12016000000006,-0.006807131280389012
SZ.300124,2020-01-02,30.63,396121120.0,0.95,16.0939,492.956157,-0.0003325822249896637
SZ.300124,2020-01-03,30.85,250994209.0,0.6,16.0939,496.4968150000001,0.007182500816193427
SZ.300124,2020-01-06,30.72,301556320.0,0.72,16.0939,494.40460800000005,-0.004213938411669393
SZ.300124,2020-01-07,30.46,304559456.0,0.73,16.0939,490.22019400000005,-0.00846354166666663
SZ.300124,2020-01-08,31.28,324980784.0,0.76,16.0939,503.41719200000006,0.02692055154300732
SZ.300124,2020-01-09,30.95,336270048.0,0.79,16.0939,498.10620500000005,-0.01054987212276215
SZ.300124,2020-01-10,31.0,207111696.0,0.49,16.0939,498.9109,0.001615508885298933
SZ.300124,2020-01-13,31.66,293226864.0,0.68,16.0939,509.53287400000005,0.021290322580645116
SZ.300124,2020-01-14,31.35,162148239.0,0.37,16.0939,504.54376500000006,-0.009791535060012624
SZ.300124,2020-01-15,31.4,159903488.0,0.37,16.0939,505.34846000000005,0.0015948963317384823
SZ.300124,2020-01-16,31.4,260876025.0,0.6,16.0939,505.34846000000005,0.0
SZ.300124,2020-01-17,30.8,568878288.0,1.36,16.0939,495.69212000000005,-0.019108280254777066
SZ.300124,2020-01-20,30.77,633876960.0,1.49,16.0939,495.20930300000003,-0.0009740259740259605
SZ.300124,2020-01-21,29.74,450066880.0,1.08,16.0939,478.632586,-0.03347416314592144
SZ.300124,2020-01-22,29.78,382148688.0,0.94,16.0939,479.27634200000006,0.0013449899125757003
SZ.300124,2020-01-23,29.25,368682832.0,0.9,16.0939,470.74657500000006,-0.017797179314976486
SZ.300124,2020-02-03,26.41,434661232.0,1.17,16.0939,425.03989900000005,-0.0970940170940171
SZ.300124,2020-02-04,27.65,388343200.0,1.02,16.0939,444.99633500000004,0.04695191215448702
SZ.300124,2020-02-05,27.99,424920160.0,1.1,16.0939,450.46826100000004,0.012296564195298343
SZ.300124,2020-02-06,28.43,414704448.0,1.07,16.0939,457.54957700000006,0.01571989996427292
SZ.300124,2020-02-07,28.24,351710832.0,0.9,16.0939,454.491736,-0.0066830812521985195
SZ.300124,2020-02-10,28.88,418810880.0,1.06,16.0939,464.791832,0.022662889518413554
SZ.300124,2020-02-11,29.2,295568400.0,0.73,16.0939,469.94188,0.011080332409972415
SZ.300124,2020-02-12,29.87,314958016.0,0.77,16.0939,480.72479300000003,0.022945205479452113
SZ.300124,2020-02-13,29.12,363673040.0,0.9,16.0939,468.65436800000003,-0.025108804820890507
SZ.300124,2020-02-14,29.24,190802782.0,0.47,16.0939,470.585636,0.004120879120879106
SZ.300124,2020-02-17,30.11,245001612.0,0.6,16.0939,484.587329,0.029753761969904202
SZ.300124,2020-02-18,30.61,337874544.0,0.81,16.0939,492.63427900000005,0.016605778811026317
SZ.300124,2020-02-19,30.91,414695712.0,0.98,16.0939,497.46244900000005,0.009800718719372714
SZ.300124,2020-02-20,30.75,331731088.0,0.78,16.0939,494.88742500000006,-0.0051763183435781235
SZ.300124,2020-02-21,30.91,456143888.0,1.06,16.0939,497.46244900000005,0.005203252032520256
SZ.300124,2020-02-24,31.42,546383520.0,1.27,16.0939,505.6703380000001,0.016499514720155428
SZ.300124,2020-02-25,32.39,719430016.0,1.66,16.0939,521.281421,0.030872056015276872
SZ.300124,2020-02-26,30.58,596203856.0,1.38,16.0939,492.15146200000004,-0.05588144489039826
SZ.300124,2020-02-27,29.7,509920784.0,1.23,16.0939,477.98883,-0.02877697841726623
SZ.300124,2020-02-28,28.31,493646080.0,1.24,16.0939,455.618309,-0.046801346801346844
SZ.300124,2020-03-02,29.14,419959648.0,1.05,16.0939,468.97624600000006,0.029318262098198655
SZ.300124,2020-03-03,29.95,459856800.0,1.12,16.0939,482.012305,0.027796842827728208
SZ.300124,2020-03-04,30.35,330059520.0,0.79,16.0939,488.44986500000005,0.013355592654423987
SZ.300124,2020-03-05,29.77,323401104.0,0.78,16.0939,479.115403,-0.01911037891268541
SZ.300124,2020-03-06,29.85,265565587.0,0.65,16.0939,480.40291500000006,0.002687269062815023
SZ.300124,2020-03-09,28.69,330133856.0,0.82,16.0939,461.73399100000006,-0.038860971524288135
SZ.300124,2020-03-10,29.09,383204032.0,0.96,16.0939,468.171551,0.013942140118508028
SZ.300124,2020-03-11,28.65,251672754.0,0.63,16.0939,461.090235,-0.015125472671021045
SZ.300124,2020-03-12,27.9,481963200.0,1.25,16.0939,449.01981,-0.02617801047120416
SZ.300124,2020-03-13,26.88,491156496.0,1.33,16.0939,432.604032,-0.03655913978494618
SZ.300124,2020-03-16,25.59,503803600.0,1.4,16.0939,411.84290100000004,-0.0479910714285714
SZ.300124,2020-03-17,25.27,419002880.0,1.2,16.0939,406.692853,-0.012504884720594078
SZ.300124,2020-03-18,25.16,311616032.0,0.88,16.0939,404.922524,-0.004352987732489155
SZ.300124,2020-03-19,24.92,468981008.0,1.36,16.0939,401.0599880000001,-0.009538950715421102
SZ.300124,2020-03-20,24.59,367794144.0,1.08,16.0939,395.749001,-0.013242375601926315
SZ.300124,2020-03-23,23.53,364324992.0,1.12,16.0939,378.68946700000004,-0.043106954046360224
SZ.300124,2020-03-24,24.03,290550624.0,0.88,16.0939,386.7364170000001,0.021249468763280932
SZ.300124,2020-03-25,25.04,397897120.0,1.15,16.0939,402.991256,0.04203079483978356
SZ.300124,2020-03-26,25.56,352246688.0,1.0,16.0939,411.36008400000003,0.02076677316293929
SZ.300124,2020-03-27,26.79,415604592.0,1.13,16.0939,431.15558100000004,0.0481220657276995
SZ.300124,2020-03-30,26.0,286996224.0,0.79,16.0939,418.44140000000004,-0.029488615154908526
SZ.300124,2020-03-31,25.85,164624360.0,0.46,16.0939,416.02731500000004,-0.005769230769230749
SZ.300124,2020-04-01,26.05,180933349.0,0.5,16.0939,419.246095,0.007736943907156624
SZ.300124,2020-04-02,26.7,156924580.0,0.43,16.0939,429.70713,0.0249520153550864
SZ.300124,2020-04-03,26.88,151141267.0,0.41,16.0939,432.604032,0.006741573033707926
SZ.300124,2020-04-07,28.0,306677392.0,0.8,16.0939,450.6292,0.04166666666666674
SZ.300124,2020-04-08,28.46,209100910.0,0.53,16.0939,458.03239400000007,0.01642857142857146
SZ.300124,2020-04-09,27.6,197133527.0,0.51,16.0939,444.19164000000006,-0.03021784961349261
SZ.300124,2020-04-10,28.32,389993360.0,0.99,16.0939,455.77924800000005,0.026086956521739202
SZ.300124,2020-04-13,28.9,229361324.0,0.58,16.0939,465.11371,0.020480225988700473
SZ.300124,2020-04-14,29.35,287615488.0,0.71,16.0939,472.3559650000001,0.01557093425605549
SZ.300124,2020-04-15,29.35,162715656.0,0.4,16.0939,472.3559650000001,0.0
SZ.300124,2020-04-16,29.54,214823423.0,0.53,16.0939,475.413806,0.0064735945485518975
SZ.300124,2020-04-17,29.7,217362858.0,0.53,16.0939,477.98883,0.005416384563303955
SZ.300124,2020-04-20,30.15,273934272.0,0.66,16.0939,485.231085,0.015151515151515138
SZ.300124,2020-04-21,29.85,136691058.0,0.33,16.0939,480.40291500000006,-0.00995024875621875
SZ.300124,2020-04-22,29.92,160771709.0,0.39,16.0939,481.5294880000001,0.0023450586264657236
SZ.300124,2020-04-23,30.2,412860992.0,0.97,16.0939,486.03578000000005,0.009358288770053402
SZ.300124,2020-04-24,30.45,357931424.0,0.84,16.0939,490.059255,0.008278145695364225
SZ.300124,2020-04-27,31.14,303934864.0,0.7,16.0939,501.16404600000004,0.02266009852216766
SZ.300124,2020-04-28,32.98,649913600.0,1.45,16.0939,530.776822,0.059087989723827894
SZ.300124,2020-04-29,32.5,358587568.0,0.8,16.0939,523.0517500000001,-0.014554275318374721
SZ.300124,2020-04-30,32.73,323227392.0,0.72,16.0939,526.753347,0.007076923076922759
SZ.300124,2020-05-06,33.9,519478160.0,1.12,16.0939,545.58321,0.03574702108157668
SZ.300124,2020-05-07,33.8,300151888.0,0.64,16.0939,543.97382,-0.002949852507374562
SZ.300124,2020-05-08,34.68,365050352.0,0.77,16.0939,558.1364520000001,0.026035502958579926
SZ.300124,2020-05-11,34.26,265982125.0,0.56,16.0939,551.377014,-0.01211072664359869
SZ.300124,2020-05-12,35.5,392435152.0,0.81,16.0939,571.3334500000001,0.036193812025685945
SZ.300124,2020-05-13,35.46,353956320.0,0.73,16.0939,570.689694,-0.0011267605633803468
SZ.300124,2020-05-14,35.3,223723950.0,0.46,16.0939,568.11467,-0.004512126339537459
SZ.300124,2020-05-15,35.12,222052039.0,0.46,16.0939,565.217768,-0.005099150141643194
SZ.300124,2020-05-18,35.14,373359136.0,0.77,16.0939,565.5396460000001,0.0005694760820047495
SZ.300124,2020-05-19,35.64,253793263.0,0.51,16.0939,573.5865960000001,0.014228799089356814
SZ.300124,2020-05-20,35.02,202513236.0,0.42,16.0939,563.6083780000001,-0.017396184062850706
SZ.300124,2020-05-21,34.95,287486064.0,0.59,16.0939,562.4818050000001,-0.001998857795545428
SZ.300124,2020-05-22,34.33,306955856.0,0.65,16.0939,552.503587,-0.017739628040057354
SZ.300124,2020-05-25,34.66,291182176.0,0.61,16.0939,557.814574,0.009612583745994607
SZ.300124,2020-05-26,35.54,393102432.0,0.8,16.0939,571.977206,0.025389497980380815
SZ.300124,2020-05-27,34.55,332036944.0,0.69,16.0939,556.044245,-0.027855936972425388
SZ.300124,2020-05-28,33.78,388704992.0,0.83,16.0939,543.6519420000001,-0.022286541244573077
SZ.300124,2020-05-29,34.33,325364944.0,0.69,16.0939,552.503587,0.016281823564239017
SZ.300124,2020-06-01,35.45,373793248.0,0.77,16.0939,570.528755,0.03262452665307314
SZ.300124,2020-06-02,33.92,399554256.0,0.84,16.0939,545.9050880000001,-0.04315937940761627
SZ.300124,2020-06-03,34.72,341223104.0,0.71,16.0939,558.780208,0.023584905660377187
SZ.300124,2020-06-04,35.05,308051344.0,0.64,16.0939,564.091195,0.009504608294930827
SZ.300124,2020-06-05,34.35,238539831.0,0.5,16.0939,552.8254650000001,-0.01997146932952898
SZ.300124,2020-06-08,34.55,411693488.0,0.85,16.0939,556.044245,0.005822416302765587
SZ.300124,2020-06-09,34.56,240554003.0,0.5,16.0939,556.205184,0.0002894356005789245
SZ.300124,2020-06-10,35.91,403791248.0,0.83,16.0939,577.931949,0.0390625
SZ.300124,2020-06-11,34.45,526160880.0,1.09,16.0939,554.4348550000001,-0.04065719855193528
SZ.300124,2020-06-12,33.9,383363584.0,0.82,16.0939,545.58321,-0.01596516690856331
SZ.300124,2020-06-15,33.88,278923632.0,0.59,16.0939,545.261332,-0.0005899705014749124
SZ.300124,2020-06-16,34.95,304685696.0,0.63,16.0939,562.4818050000001,0.03158205430932726
SZ.300124,2020-06-17,33.68,345295984.0,0.74,16.0939,542.042552,-0.036337625178827104
SZ.300124,2020-06-18,33.96,361554720.0,0.77,16.0939,546.548844,0.008313539192399189
SZ.300124,2020-06-19,34.8,521369104.0,1.08,16.0939,560.06772,0.02473498233215543
